sowndarya s wrote a review Apr 2018,40,"Chennai - Kochi (Cochin)
Domestic
Economy","Chennai - Kochi (Cochin)
Domestic
Economy","Chennai - Kochi (Cochin)
Domestic
Economy",Good experience even though delays in flight arrivals and departures,"We were going for a holidag to kerela and booked air india flight. But Flight was delayed 30.mins.. i was bit upset as this 30 mins delay will impact my entire holiday... but as soon as i am in yhe flight.. gradually i forgot about the delay as the service was good, breakfast was yummy, no noise and the travel went smooth and peaceful. Had a nice experience over all"
DineshRaheja wrote a review Apr 2018,30,"Mumbai - Genoa
International
Economy","Mumbai - Genoa
International
Economy","Mumbai - Genoa
International
Economy",Sad Snacks,"The dry tomato and cucumber sandwich was a sad apology of a light refreshment when I flew from Mumbai to Goa byAir India.I travelled first class on the return journey (from Goa to Mumbai) and the food was no better. Small consolation: the air hostess was helpful, and the ground staff at the airport in Goa was extremely efficient."
KF43 wrote a review Apr 2018,30,"London - New Delhi
International
Business Class","London - New Delhi
International
Business Class","London - New Delhi
International
Business Class",First experience of Air India,Pretty good VFM but room for improvement compared to other Airlines Business Class. Cabin crew on return trip were far better than those on the way out. Attentive and helpful. On the way out they couldn't wait to turn off the lights and take a break even though it was a late morning flight. Found check in staff to be a little on the miserable side too. Did a 3 flight trip. Heathrow to Delhi then on to Pune. Then Mumbai back to London. They were the same at each airport
Toby66000 wrote a review Apr 2018,50,"Paris - Udaipur
International
Economy","Paris - Udaipur
International
Economy","Paris - Udaipur
International
Economy","As always, a pleasant journey.","I have been flying with Air India for most of my trips to India over the last 12 years. When I have changed to another airline to save a few euros, as I did 2 years ago, the need to change planes between France and India, and the less suitable timings made me come running back to Air India last year and this year. The staff are always friendly and helpful, and as yet I haven't experienced any delays. A 5 star airline !!"
Nern2014 wrote a review Apr 2018,10,"New Delhi - Sydney
International
Economy","New Delhi - Sydney
International
Economy","New Delhi - Sydney
International
Economy",Worst airline ever,"Returned home to Australia from Delhi last weekend.
On checking in the man at the counter told us that my wife and I couldn't sit together as we were one of the last to check in and there were no two seats together left. He lied.
Asked to speak to his superior and when she came over, he spoke to her briefly in Indian, then she lied. Asked to book an exit row, told all taken, they lied. Asked to upgrade to business, told all sold, they lied.
On boarding the plane we arranged a swap ourselves with another passenger so we could sit together.
On a 12 hour flight, the on board staff, do not consider cleaning the toilets part of their job. By the halfway mark, the toilets were an absolute disgrace. By landing time they were absolutely disgusting. Watched a stewardess kick rubbish into a corner, rather than pick it up.
On landing, the flight was also delayed almost two hours, we were left standing in the aisles for 15 minutes before being told to sit back in our seats, no particular reason gone. Apprarently the plane was supposed to be fumigated before passengers boarded in Delhi, not done. It took an hour before we were allowed to disembark.
It took another hour to collect baggage.
We will never fly with Air India again, and warn anyone thinking of using them, especially if you are Caucasian to reconsider."
SHILPI K wrote a review Apr 2018,40,"Ahmedabad - New Delhi
Domestic
Economy","Ahmedabad - New Delhi
Domestic
Economy","Ahmedabad - New Delhi
Domestic
Economy",Airline with indian feeling,felt like travelling with family airline.Seats are very comfortable and food served is pure desi( indian dish)
John T wrote a review Apr 2018,30,"New Delhi - Jodhpur
Domestic
Economy","New Delhi - Jodhpur
Domestic
Economy","New Delhi - Jodhpur
Domestic
Economy",Only when no other seats available,"Staff in Delhi lazy and uninterested. The meal on the flight was dreadful a cabbage and mayo sandwich. When my wife complained the attendant told her they give second rate on short haul flights.

I was hussled by the wheel chair guy for 500 rupees My wife kicked his ......."
rashidbishal wrote a review Apr 2018,30,"Dhaka City - Kolkata
Asia
Economy","Dhaka City - Kolkata
Asia
Economy","Dhaka City - Kolkata
Asia
Economy",Service is not impressive.,"Dhaka to Kolkata, the flight was not bad. The inflight meal was good however the atmosphere on the aeroplane felt like everyone was sick. Nevertheless, I recommend passengers to fly air India on this dhaka to Kolkata route. Thank you."
Ishtiaq A wrote a review Apr 2018,40,"Kolkata - Chennai
Domestic
Economy","Kolkata - Chennai
Domestic
Economy","Kolkata - Chennai
Domestic
Economy",Comfortable flight experience,"Air india is the largest Commercial flight operator in INDIA.
Overall my experience with this airliner very good.
On time flight. Food was ok as well.
Air creq behavior was good.
Very crowded flight."
Deepa S wrote a review Apr 2018,50,"Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy",best In-cabin service provider with in India,"I traveled with this airline so many time. My review is not just about the one trip
its about an overall experience which i feel with in all the trips.
Air India comfort level is really good, provides the largest leg room , its food quality is really good and enough for one time meal, cabin crew hospitality should be applauded."
Keval V wrote a review Apr 2018,20,"Mumbai - Goa
Domestic
Business Class","Mumbai - Goa
Domestic
Business Class","Mumbai - Goa
Domestic
Business Class",Comfortable Domestic Flight - Air India - Mumbai Goa,"Online check in was a pain as we were flying as a family of four (2 minor kids) and the airline website only offered us different seats in all four directions!! When the check in official was approached at the airport he too offered the same!! All explanation of travelling with minor kids aged 4 and 7 was in vein :( Finally, I had to pay more and upgrade to Business class so that we can travel together with kids. Flight experience was ok."
Hemant B wrote a review Apr 2018,50,"Sydney - Mumbai
International
Economy","Sydney - Mumbai
International
Economy","Sydney - Mumbai
International
Economy",Greatly improved service,"The comfort level , courteous service , food & beverage quality has greatly improved. There is still scope to do better but moving in right direction."
Arbab A wrote a review Apr 2018,30,"Riyadh - Ranchi
International
Economy","Riyadh - Ranchi
International
Economy","Riyadh - Ranchi
International
Economy",About Flight Service,"Flight On time, but inside flight service is not good, Cabin Crue member is not supportive,
or helping traveller of Economy Class, Also Flight Seating Space not Spacious and comfortable for long journey travellers."
John S wrote a review Apr 2018,30,"Hyderabad - Visakhapatnam (Vizag)
Domestic
Economy","Hyderabad - Visakhapatnam (Vizag)
Domestic
Economy","Hyderabad - Visakhapatnam (Vizag)
Domestic
Economy",A short but comfortable internal flight,This was only a short 1 hour flight and my first time with Air India. I was impressed by the courteous welcome on board and the comfort of the seats. It seemed as though many other passengers were careless about where they sat in relation to their allocated seats and this resulted in a lot of milling around before take off. Seat allocation for our party of 4 placed us all well apart. A snack box with sandwich and drink was provided which was adequate for such a short flight. Departure and arrival was fairly punctual. The same applies to our return to Hyderabad on Flight AI 951 eleven days later
drruthoppenheim wrote a review Apr 2018,50,"London - Kochi (Cochin)
International
Business Class","London - Kochi (Cochin)
International
Business Class","London - Kochi (Cochin)
International
Business Class",Heaven in the Skies,"After mediocre service last year on BA to Kochi,we decided to try Air India. Boy were we pleasantly surprised!!! Not only were AirIndia cheaper for the return journey, but the service was fantastic!!!! The staff were friendly, courteous,and professional.the food was great,our bags arrived in tact, and all four flights left on time.
Could not have asked for a better service! We will definitely fly Air India again!"
AshMet wrote a review Apr 2018,30,"New Delhi - Visakhapatnam (Vizag)
Domestic
Economy","New Delhi - Visakhapatnam (Vizag)
Domestic
Economy","New Delhi - Visakhapatnam (Vizag)
Domestic
Economy",Flight to City of Destiny.,Over all an enjoyable flight. Services offered by the carrier was OK. Seats are more comfortable than budget airlines which really make a difference over long haul flight.
bongfooodie wrote a review Apr 2018,20,"Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy",Poor customer service for a great airline.,"I was travelling from Hyderabad to Delhi to catch a connecting train from Delhi towards Jammu on the same night. My parents were travelling from Kolkata on train till Jammu. They are above 70 years and though medically fit, they still need assistance with their luggage and stuffs.

My flight was scheduled from Hyderabad at 4:30 pm and I reached well ahead. I went through all the boarding & security procedures. However, when we reached the boarding gate, we were informed that the flight has been cancelled. I was in total loss of thoughts since I had a train connecting from Delhi at 9pm which I had to catch to meet my parents.

The AI staff at boarding gates were clueless and did not know what to be done. The passengers had to be escorted back to the AI airport check-in counters. They informed that they will be able to accomodate us at 9:30 flight as the next flight at 7:30 was full. I repeatedly requested at all levels to arrange for an earlier flight since I had to meet my parents to support. All they could reason was that they can connect me to Delhi at their convenient flight.

I asked for a compensation since I will have to book a flight now next day till Srinagar and also stay over at Delhi in the night. However, they refused to accommodate any request. I had to shell out extra for no mistake of mine and I had to keep my old parents stranded. Unfortunate that a national airline doesn't bother about their passengers in distress.

I was so mentally stressed, I couldn't vent any further and match their rudeness."
SomeOne17 wrote a review Apr 2018,20,"Patna - New Delhi
Domestic
Economy","Patna - New Delhi
Domestic
Economy","Patna - New Delhi
Domestic
Economy","Even 2 hours before you cant select seat, and even boarding counter cant edit your middle worse system alloted seats","Even 2 hours before you cant select seat, and even boarding counter person cant edit your middle worse system alloted seats. Earlier you could web check in 48 hours before and select seats, but if you web check in, system allot you all middle B & E seats, we were four, even elderly and all were scattered at B & E, and even at check in counter, he said, his power to edit has been removed and all seats are paid and he was not even aware, how much time before take off, these seats become free. This is worst experience."
Nerissa A wrote a review Apr 2018,40,"Mumbai - Goa
Domestic
Economy","Mumbai - Goa
Domestic
Economy","Mumbai - Goa
Domestic
Economy",Flight was on time and smooth,"It was a really early in the morning flight, but everything went smoothly. While the flight took off a little late it made up time and reached the destination on time."
vishaldalela wrote a review Apr 2018,40,"New Delhi - London
International
Economy","New Delhi - London
International
Economy","New Delhi - London
International
Economy",Nice flight,"This was my first flight with Air India, I found it to be very satisfying. Aircraft was 787 Dreamliner, very clean, crew was courteous, food was excellent and flight was dot on time."
rajeevgsits wrote a review Apr 2018,30,"Mumbai - Bangkok
Southeast Asia
Economy","Mumbai - Bangkok
Southeast Asia
Economy","Mumbai - Bangkok
Southeast Asia
Economy","Comfortable seats, poor food, timely, poor staff service","AI 330 from Bom to Bkk. Flight was very much on time. Dreamliner with comfort seats with nice width and legspace.

As flight is late hours (1:40am), it is expected that service of drinks and supper start early. But it took more than 40 minutes after takeoff to start the same.

Food was wraps and tasteless. They served Ballantine, nice scotch. Luckily the guy serving us was smiling but rest were not that lucky.
Entertainment does comprise of big selection but very poor sound. In fact ear phone jack was needed to be held if you wish to hear. So I left.

Landing was on time and smooth"
Dhruv_Sachdeva1379 wrote a review Apr 2018,40,"Bengaluru - Chandigarh
Domestic
Economy","Bengaluru - Chandigarh
Domestic
Economy","Bengaluru - Chandigarh
Domestic
Economy",Amazing experience,"Well maintained aircraft with good services. Nice and comfortable journey overall. Flight attendants are not very helpful, that's the only negative."
