arun2k11 wrote a review Oct 2016,50,"New Delhi - Pune
Domestic
Economy","New Delhi - Pune
Domestic
Economy","New Delhi - Pune
Domestic
Economy",Review of vistara airlines,An excellent airlines which is coming up . the aircrafts are new . They serve excellent food . Atmosphere is very clean . crew are helpful and polite .
Colin P wrote a review Oct 2016,40,"New Delhi - Goa
Domestic
Premium Economy","New Delhi - Goa
Domestic
Premium Economy","New Delhi - Goa
Domestic
Premium Economy",Very good,"Our connection from the BA flight was a bit stressful, because of lack of information and signage. Just head to domestic departures and make sure you have anything and everything printed out!!! After that though, the flight was good, the service good, food good and seat good!"
RahulKubadia wrote a review Oct 2016,40,"Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy",Good flight and ontime arrival,"Good service, good meals on board, new or newly furnished aircraft and hassle free travel at budget airline price. Overall a good flight which arrived on time."
mravindrakumar2000 wrote a review Oct 2016,40,"Guwahati - Hyderabad
Domestic
Economy","Guwahati - Hyderabad
Domestic
Economy","Guwahati - Hyderabad
Domestic
Economy",Journey by Vistara in two sectors,"The Check in staff were well behaved. Both the flights were punctual and landings were without jerks. Inside the craft, it was clean and tidy. Cabin crew was courteous.

Airline ground staff, took care of passengers who were taking connecting flights of the same airline. It was a nice gesture.
Food was good. But the same food was served in two sectors, which could be avoided."
GLOBALSEAS wrote a review Oct 2016,50,"New Delhi - Hyderabad
Domestic
Economy","New Delhi - Hyderabad
Domestic
Economy","New Delhi - Hyderabad
Domestic
Economy",best flight,"one of the best flight in class , legroom and food . every thing is best in class of Vistara as its co brand of singapore airlines .."
ankit_player wrote a review Oct 2016,50,"New Delhi - Hyderabad
Domestic
Economy","New Delhi - Hyderabad
Domestic
Economy","New Delhi - Hyderabad
Domestic
Economy",DEL-HYD Relaxed Flight,"This was my first time i chosen Vistara airlines, i heard about the flight however really want to experience by own this time, i believe the flight was really very comfortable the ground and cabin crew both are really nice and helpful, the flight has good leg room and seat are more comfortable then other flights"
ShazmeisterP wrote a review Oct 2016,40,"Kochi (Cochin) - New Delhi
Domestic
Economy","Kochi (Cochin) - New Delhi
Domestic
Economy","Kochi (Cochin) - New Delhi
Domestic
Economy",Impressive,"This was my second flight on Vistara - my first was in Premium Economy with work way back in March.

You can see the influence of Singapore Airlines in this joint venture with TATA - cabin crew are very friendly, efficient and smart, and the crews' uniforms are practical.

Plenty of leg room and the seat was comfortable. A cooked meal was included. I had non veg and I thought the chicken curry was very good, but it may be a bit too spicy for some individuals.

Thoroughly recommend and I'm looking forward to my Chandigarh flight with Vistara in November."
Rhodesey123 wrote a review Oct 2016,50,"Mumbai - New Delhi
Domestic
Business Class","Mumbai - New Delhi
Domestic
Business Class","Mumbai - New Delhi
Domestic
Business Class",Mumba to Delhi - great service,Really high quality service on a new plane. I would definietly fly this airline again on internal lflights in India. Something to be aware of - the flight serves no alcohol. Food was really good - proper food served on a 2hour flight. In flight entertainment a tablet pre-loaded with a very limited number of films and TV programmes.
ushassutk wrote a review Oct 2016,20,"Mumbai - Kochi (Cochin)
Domestic
Economy","Mumbai - Kochi (Cochin)
Domestic
Economy","Mumbai - Kochi (Cochin)
Domestic
Economy",Good Experience But Need a Human Touch,"I had taken a flight to Kochi on the 1st september'16 and the service and food quality was Superb, however one feedback which left a scar on me was that my son ( 8 year old) wanted a juice packet for which the air hostess denied to serve since they do not serve juice in the economy class. I requested her and was also ready to pay for it but the answer was negative from her side, Suggest that the airlines should have a human touch especially totravellers with kids. Otherwise it was a memorable experience for me"
Rajagopal B wrote a review Oct 2016,40,"Kochi (Cochin) - Mumbai
Domestic
Economy","Kochi (Cochin) - Mumbai
Domestic
Economy","Kochi (Cochin) - Mumbai
Domestic
Economy",Tatas are Back with Vistara.,Vistara a joint venture of Tatas and singapore airlines operates few flights now as they have not much aircraft at present. flew fromkochi to Bombay and they kept their timings and provided good ground and cabin service/.
Manvi G wrote a review Sep 2016,50,"New Delhi - Bagdogra
Domestic
Economy","New Delhi - Bagdogra
Domestic
Economy","New Delhi - Bagdogra
Domestic
Economy",Nice experience!!,"As compared to other airlines I liked the service of Vistara airlines more. More clean, more comfortable and also, meals were included in the flight ticket. Give it a try. Plan your next trip with Vistara."
drajay2014 wrote a review Sep 2016,50,"Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy",best flight in current time in domestic travel,"this was really a great flight after a long time. i can rate it 10 on 10. food was very good,tasty .
staff is also very cooperative"
iammsaurav wrote a review Sep 2016,50,"New Delhi - Kolkata
Domestic
Economy","New Delhi - Kolkata
Domestic
Economy","New Delhi - Kolkata
Domestic
Economy",Fly The New Class.. Fly The New Feeling..,"As the tagline rightly suggests, flying in Vistara is no less then flying a new feeling. From Boarding to Landing, it was no less of a dreamy experience. Amazing Service, Great Food, a smooth Flight , and what more does one need.?

I would definitely recommend Vistara to everyone. HAPPY FLYING!! :D"
Patrick R wrote a review Sep 2016,40,"Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy",Efficient and Courteous service.,"Good experience flying with Vistara on all the previous 2 occasions i flew with them.

The first time I did, was pleasantly upgraded to premium economy from Goa to Mumbai"
SuvidhaMPaul wrote a review Sep 2016,50,"New Delhi - Goa
Domestic
Economy","New Delhi - Goa
Domestic
Economy","New Delhi - Goa
Domestic
Economy",Better than many other flights,"A great new flight with nice interiors and good leg room. The food served also was far better than many other flights with an attractive packing.
The flight took off on time. The staff can be a bit more courteous though."
