Dinesh Kumar Aggarwal wrote a review Dec 2017,50,"New Delhi - Chandigarh
Domestic
Economy","New Delhi - Chandigarh
Domestic
Economy","New Delhi - Chandigarh
Domestic
Economy",Punctual,Flight left as per schedule. Inflight services were also good. As duration of flight was 55 minutes didn't get chance to taste meal..
Bharat M wrote a review Dec 2017,40,"Mumbai - Hyderabad
Domestic
Economy","Mumbai - Hyderabad
Domestic
Economy","Mumbai - Hyderabad
Domestic
Economy",Best seats in India,"If you are tall and large framed and cannot afford to purchase business travel tickets for flights within India, look no further than Air India. They definitely have the best seats and food plus service is pretty good too."
David B wrote a review Dec 2017,50,"Sydney - Bangkok
International
Business Class","Sydney - Bangkok
International
Business Class","Sydney - Bangkok
International
Business Class",Smooth Sailing Oops Flying.,"Luxury Air Liner. Fabulous Lounge. Smooth Take-off, Flight and Landing. Excellent Cuisine. Loved the Costumes worn by the Attendants. Comfortable seating and leg room. On time Departure and Arrival."
Dr-AbuLaize_CB wrote a review Dec 2017,40,"Trivandrum - Mumbai
Domestic
Economy","Trivandrum - Mumbai
Domestic
Economy","Trivandrum - Mumbai
Domestic
Economy",Love to fly with them,"I love them despite all the comments we hear.
You get free food and water, extra luggage, leg room.
Staff is courteous.
Boarded more than 50 times and kept on time except once. Once the flight was cancelled due to bad weather, but they made alternative arrangements."
nita01230 wrote a review Dec 2017,40,"Mumbai - Goa
Domestic
Economy","Mumbai - Goa
Domestic
Economy","Mumbai - Goa
Domestic
Economy",pleasantly surprised,"air india is mostly having a bad reputation, but i was surely pleasantly surprised. the oldfashioned seats are more spacious and comfortable than i experienced on most of the modern airplanes i have travelled on, service is friendly, price is definitely very good. thumbs up all the way!"
vikramse wrote a review Dec 2017,30,"Chennai - Kolkata
Domestic
Business Class","Chennai - Kolkata
Domestic
Business Class","Chennai - Kolkata
Domestic
Business Class",Air India domestic flight,"I took an Air India flight from Chennai to Kolkata (round trip) in the month of July, this year. The pros and cons, in my opinion are below:

Pros:
1) In both directions, the flight was delayed only by 10+ minutes, which is quite an improvement for AI.
2) I traveled in the Business Class cabin, wherein the seats had very generous pitch and width. The seat was covered with comfortable fabric, instead of gaudy leather, which felt soft.
3) The aircraft I flew in was an Airbus A321, which was relatively new and looked properly maintained.
4) The Pilots handled the aircraft really well. The landings were honey smooth, feather soft, unlike many LCCs where the landings can give you quite a 'shock' therapy.
5) AI have upgraded their buses (where there is a bus gate), to Volvos ( I am not sure, if that's the case at all airports, but may be so at major ones) from the old Tatas. It's a far cry from the Cobus 3000, but you have to start somewhere.
6) The pricing, in my opinion was decent ( I booked almost at the 11th hour )
7) The crew were ok. The grandmas have been replaced by much younger crew, who were professional. I have heard a lot of negative feedback from others about LCCs in India, regarding the crew and one LCC staffer even indulged in some WWE style slam recently. Compared to that, these people are much better.
Cons:
1) The food on the outbound sector was good, but on the inbound sector was horrible.It tasted stale. The coffee/tea was good though.
2) Even though the aircraft was equipped with IFE, It was not functional.
3) The ground staff were reminiscent of a Government office, not bothering to make announcements at all. They were never attentive. Being a business class traveler, they should have given me a lounge invite, but I had to ask for it. Left to them, they would rather not have you travel with AI."
Fillup42 wrote a review Dec 2017,30,"London - Kochi (Cochin)
International
Economy","London - Kochi (Cochin)
International
Economy","London - Kochi (Cochin)
International
Economy","It got us there on time and safely, but....","We chose this airline because we love India and the flight times (one stop over) worked out for us and the price was reasonable. You have to understand the ""India way "" or you would go mad. That is, that they do things always just 95% perfectly, they may copy a scheme, design or plan from another culture and it works, just. The staff were polite and courteous to a fault. The food and presentation was mediocre, the plane and seating was grubby, the inflight TV touch screens worked only intermittently and all the headphones we tried only worked in one ear ( both ways)... The plane looked like a war zone during the flight (not helped by the other passengers using the floor as a rubbish bin). But, as I said we arrived safely and on time. I maybe chose to use them again but not until I will look deeper on a comparison site next time....."
Mohammed khan wrote a review Dec 2017,20,"New Delhi - Male
Asia
Economy","New Delhi - Male
Asia
Economy","New Delhi - Male
Asia
Economy",Best traveling experience,"This my 2nd time with Air India airlines but not wow 😮
traveling with Air India experience was not good , I travel Delhi to Maldives there no any internment just boring all most 5 hours,
😡😡😡"
purabi2016 wrote a review Dec 2017,30,"Bengaluru - Hubli-Dharwad
Domestic
Economy","Bengaluru - Hubli-Dharwad
Domestic
Economy","Bengaluru - Hubli-Dharwad
Domestic
Economy",Flight from Bangalore to Hubli - overall an okay flight,"The flight is good in terms of timing , check-in process, legroom, reminders etc . It could improve upon its choice of snacks . I've been travelling in this Airlines since last two years and everytime I'm treated to a good old sandwitch. Why can't they think of a change . Also a sole magazine for entertainment. Flight timings at 2pm may not suit all profiles .However, considering that its only an one hr flight , its quite enjoyable at such as economy price ."
Ramneek S wrote a review Dec 2017,50,"Jaipur - New Delhi
Domestic
Economy","Jaipur - New Delhi
Domestic
Economy","Jaipur - New Delhi
Domestic
Economy",First flight,My first flight ai-492 ...a short flight in a big plane...great experience..meal is good...neat & clean flight...little late but ok ...seats comfortable....leg space very good.....crew team is good.....recommended
payson1750 wrote a review Dec 2017,10,"San Francisco - Amritsar
International
Economy","San Francisco - Amritsar
International
Economy","San Francisco - Amritsar
International
Economy",Bad Experience,"I will not recommend Air India Airline due to the following reasons:
Service is bad, Staff have no courtesy and they are rude toward passengers.
Most of the time toilets are without toilet papers and without napkins.
Planes are old, seats are bad.
No information about the connecting flights and if there is one, it is wrong.
It may be good for older peoples who don't speak English."
Nikhil_Sanjay_Joshi wrote a review Dec 2017,50,"Mumbai - Jaipur
Domestic
Economy","Mumbai - Jaipur
Domestic
Economy","Mumbai - Jaipur
Domestic
Economy",took Mumbai to Jaipur on 4th December 2017,"good food and service, flight was delayed by 25 mins and baggage was on time. check in process was smooth and simple and upgrade was given to me my infant."
