sandeepsanghvi wrote a review Feb 2016,40,"Bhuj - Trivandrum
Domestic
Economy","Bhuj - Trivandrum
Domestic
Economy","Bhuj - Trivandrum
Domestic
Economy",flight resheduled but they change me to other airline,"my flight is from bhuj to Mumbai in morning and mumbai to Thiruvananthapuram ar12:20. but in night flight rescheduled for this my connecting flight will miss. so i called customer call center but not any response. they give me mumbai number but also no one collect phone. so in morning i go to bhuj airport. in bhuj airport staff change me to jet airways filght and i reach Mumbai on time and reach Thiruvananthapuram on time.
thanks for bhuj ground staff of air india. and please improve call center staff."
M C wrote a review Feb 2016,20,"Mumbai - Goa
Domestic
Economy","Mumbai - Goa
Domestic
Economy","Mumbai - Goa
Domestic
Economy",Not very impressive.,"Cabin crew not friendly upon boarding aircraft. The seats were dirty, seat pockets torn, and overall not clean. Seat cushions need to be replaced. Dried sandwiches were given with water and a juice. Crew attitude appeared the same on all 3 flights we took in a week; very disappointing."
Rupi K wrote a review Feb 2016,30,"Amritsar - London
International
Economy","Amritsar - London
International
Economy","Amritsar - London
International
Economy",AVERAGE AIRLINE!!!,"This was my first airline i have ever travelled with thinking it will be a great flight but the flight was brilliant until Delhi transfer came, where we had to get off the plane only to get back on it again after going through another security screening which made no sense as we were going back on the same plane. Overall staff ok, flight ok, leg room not so good. Overall experience average."
Malay951 wrote a review Feb 2016,30,"Vadodara - Patna
Domestic
Economy","Vadodara - Patna
Domestic
Economy","Vadodara - Patna
Domestic
Economy",Improving in pieces,"Support staff behavior improved. Call centre calls for each delay in flight. They started pinning chains of checked in bags.
However, my web-checked in seats are not updated on their system hence didn't get a window seat.Badges were not available at security counter; so I had to rush to check in kiosk to collect it - there was no AI staff to grab it and keep it in adequate amount at security. Anyway, as expectations are very low, these poor services are ignored by others."
plybond wrote a review Feb 2016,40,"London - New Delhi
International
Economy","London - New Delhi
International
Economy","London - New Delhi
International
Economy",Loved the Air India Dreamliner,Best in Class and service. one of the best travelling experience I ever had. the Flight reached the destination much before than its scheduled time. the food is always delicious. One of the Best Airlines in India
occlusion_vikas wrote a review Feb 2016,10,"Hyderabad - Chennai
Domestic
Economy","Hyderabad - Chennai
Domestic
Economy","Hyderabad - Chennai
Domestic
Economy",the official junk airline sadly,"the only airline with arrogant , head strong, rattling aircrafts , and bad ground staff and grand mothers serving you . food is only from 5 strar standards ! if u can eat ! very often stale . bad part is the airline staff can put the govt under pressure manytimes.
only airline for the sarkari mehamaan ! who travel for free so is their attitude.
you have many better choices on hand ."
Omit Singh R wrote a review Feb 2016,40,"San Francisco - New Delhi
International
Economy","San Francisco - New Delhi
International
Economy","San Francisco - New Delhi
International
Economy",nice experience,"I had very nice experience with Air India as the crew was really helpful. I am not sure why it is termed as 3 star should be 4 star and above.

I can recommend to take Air India , if:

1) You are a Vegetarian
2) You love to watch Hindi Movies and Bollywood songs
3) Shortest flight from SFO to Delhi
4) Make good friends
5) You like Indian food
6) Good piloting experience
7) You can walk around to make yourself stretched.
8) If you are travelling with parents or you want to make your parents travel alone.
9) Direct connectivity

Also I liked the seats as they are not that bad as I can compare with other air lines"
Ravikumar T wrote a review Feb 2016,30,"London - New Delhi
International
Business Class","London - New Delhi
International
Business Class","London - New Delhi
International
Business Class",Proportionate.....Travel and ticket price.,"Hello all and to everyone @ Trip. I made a LHR-Delhi-LHR trip last weekend. Business on a old 777-200 LR. Dep last thurs AI 161. Return mon AI 162. Same aircraft on both flights. Seat 8K.
Check was smooth and quick at T4. 13 mins from the moment I dropped the luggage to clearing security. I used the air india maharaja lounge , both at Heathrow and New Delhi.
The one at LHR is at gate 1. Up the stairs.......not helpful for some passengers. At 07:30, I greeted by a lady with a dry smile. Oh never mind!. There was a ""serve yourself"" ....line up of wine bottles, hard.and..soft drinks . There was a selection of buffet , hot and cold. I had a coffee and read a paper till the boarding call was announced. Stewards welcome me into the plane and I was taken to my seat. Up in the air.....breakfast was served. Taste wise , I'd give it 5/10. Dry and microwaved.
Business toilets were quite clean and stocked. Toilet meter 7/10. I'm giving it 3 less because the space inside the loo was quite tight, same as that of the economy. Don't expect any smiles or pampering from the crew. You have to ask everything......whatever your need is. If you don't ask , you don't get. The crew are quite direct in communication. I made a request for pyjamas. After the third request, I got it. Imagine purchasing a chicken doner kebab in a busy grill shop after a friday night out.......!!!! Yes , you can understand what I am saying. A short snack before landing....again tasteless.... Landed at IGI, 15 mins early. Immigration, luggage carousel,customs....out in 30 minutes.
Return flight AI 162 was a similar experience. Well .....the same aircraft but different crew."
celine_dsouza wrote a review Feb 2016,50,"Mumbai - Mangalore
Domestic
Economy","Mumbai - Mangalore
Domestic
Economy","Mumbai - Mangalore
Domestic
Economy",Domestic Airline,"Very good service, very good food. The flight took off from Chatrapathi Shivaji International Airport which was very advantageous for me."
Arpan C wrote a review Feb 2016,20,"New Delhi - Mumbai
Domestic
Economy","New Delhi - Mumbai
Domestic
Economy","New Delhi - Mumbai
Domestic
Economy",Expert in delaying,"Till date I have traveled thrice with this airline and I have promised to myself I will not make the mistake of booking this flight for domestic travels ever again.
The first time I traveled with this flight from Mumbai to Kolkata, it was delayed by around 4 hours.

The next time I was travelling from Frankfurt to Mumbai. There was a halt at Delhi for 3 hours which was the reason that I booked the flight. I believed a 3 hours break after a 7 hour journey will be nice. But then I realized that the flight was delayed by another 3 hours and 30 minutes. Worst part, they were never sure how much delayed the flight will be. First they said it was delayed by an hour, 30 minutes after saying this they said it is further delayed by another hour and this repeated for another time. Besides, the gates changed and they did not feel the need to announce it till the very end point. Moreover, the lady at the gate was really rude. I was stunned by the tone of her voice when I asked her ""Can you please give me an exact time because I had to schedule a few things"". The reply that I got was ""It is not in my hands"" and believe me the tone in her voice was really rude. This is what pissed me off completely.
I had similar experience with the flight timing while travelling from Kolkata to Delhi to catch a connecting flight to Frankfurt. I had to run to catch my flight to Frankfurt because the domestic flight got delayed by 3 hours again. They said that it was due to foggy weather. What I did not understand is how the other flights to Delhi were running. Do they have some special provisions or did I see wrong in the list?

Anyways, I will seriously suggest not to book Air India for domestic flights. The only thing you may find good is the food (the reason for rating it poor and not terrible)."
