Clive M wrote a review Dec 2017,40,"Male - Trivandrum
Asia
Economy","Male - Trivandrum
Asia
Economy","Male - Trivandrum
Asia
Economy",Nice flight,"We used Air India recently for a short flight from the Maldives to India.

No complained the flight was good and we were served a meal on the plane.

Good value for money.

Only negative would be checking in was slow."
Govind20 wrote a review Dec 2017,40,"Kochi (Cochin) - Dubai
International
Economy","Kochi (Cochin) - Dubai
International
Economy","Kochi (Cochin) - Dubai
International
Economy",Boeing 787 Dreamliner......,"The most advanced machine from the Boeing,the ""Dreamliner"" provided good comfort throughout the journey.
Service & hospitality was good.
Food was really good.
The automatic window lighting were superb.
The aircraft is really big and the seat upholstery could have been more better.
Value for money service."
Sunita B wrote a review Dec 2017,50,"Mumbai - Aurangabad
Domestic
Economy","Mumbai - Aurangabad
Domestic
Economy","Mumbai - Aurangabad
Domestic
Economy",A very memorable flight.,"I had to travel to Aurangabad from Mumbai and had booked on Air India Flight from CSTM T2 Terminal at Sahar,Mumbai. I was in for a pleasant surprise when the boarding was announced much before time and all passengers had sufficient time to board and stack their cabin luggage in the overhead racks. The leg space was decent and even during the short flight of 50 minutes, we were served snacks."
kumarguptal wrote a review Dec 2017,50,"New Delhi - Shanghai
North Asia
Business Class","New Delhi - Shanghai
North Asia
Business Class","New Delhi - Shanghai
North Asia
Business Class",Pleasent experience in flights (domestic as well as Internationals),"En excellent management from booking to flight, enhanced communication and updates, State of art new aircrafts (Dreamliner, with ultra modern technology and features for comfort) Good infrastructure in planes, well experienced cohesive staff (on board and ground) assimilates good food quality and well maintained timings. Overall ponders high level of satisfaction and I love to have first choice to fly with Air India (around all destinations)."
deemacvee wrote a review Dec 2017,10,"Sydney - New Delhi
International
Economy","Sydney - New Delhi
International
Economy","Sydney - New Delhi
International
Economy",Dreamliner = Great Aircraft. Lazy staff on ground & in the air = Miserable experience.,"We were excited to be flying direct to Delhi on the Dreamliner. Our excitement evaporated at check in. Check in staff opened up late and exhibited the worst customer service I have experienced. At one point, yawning in my face. Slapping our documents down then moving back from the desk for a break & a chat after ""serving"" 2 customers. Then it went down-hill. If this experience was bad, it was worse at Delhi on the return flight and on checking into another Air India flight in Deli to Kathamadu. APPALLING service. The staff looked like they were being forced to work under pain of suffering. Disinterested, bored, non-responsive...... miserable. How sad that India's national airline has such a toxic employment culture.
The flight. The Dreamliner is a lovely plane. The food was good. It was very quickly served but, once service was over, that was the last you saw of any crew. They set up a bench in the galley where they could sit behind the curtains and avoid attending to any customers needs. I have never seen that kind of behaviour from an air crew before. A friend traveling with us is still fuming when he related a rude encounter with a flight attendant. We had a wonderful holiday in India and Nepal, marred only by the worst imaginable 4 Air India flights. Air India obviously has big staff cultural problems. I really didn't expect that to start at the check in in Sydney. Yes, Air India has nice Dreamliner planes and does fly direct between Sydney and Delhi but, if you want a pleasant experience, DO NOT FLY WITH AIR INDIA!"
Jai1976 wrote a review Dec 2017,50,"Srinagar - New Delhi
Domestic
Economy","Srinagar - New Delhi
Domestic
Economy","Srinagar - New Delhi
Domestic
Economy",Comfortable journey,It was an wonderful journey. The airline staff right from the check in till boarding ensured that we boarded the flt without any problems. The In-flight service was very good with courteous staff.
TravelerDude wrote a review Dec 2017,30,"Bangkok - New Delhi
Asia
Business Class","Bangkok - New Delhi
Asia
Business Class","Bangkok - New Delhi
Asia
Business Class",Should be world class,"There are a few airlines in the world that have all the potential to become one of the best in the world but unfortunately, as they are poorly managed (perhaps because they belong to the state) they are unable to achieve their utmost. Air India like Thai and Alitalia, come from countries that logically have the DNA to create amazing airlines as they have second to non, the culture, food, fashion/design and inbuilt hospitality to create best airlines in the world. To my continued disappointment, this does not seem to happen. In our recent trip to New Delhi on Air India (and we haven't been on AI for many years) while we were happy that it was a Dreamliner, the upkeep on the interiors was poor, seating design can be improved similar to cathay which would be good for business for AI too as it would add more seats (fish scale seats), amenities and food was average and presentation of it was equivalent to better airlines economy class. The savior was the service although they really need to hire one of many many talented Indian designers to design new uniforms! Fit flops dont seem to be suitable as part of the uniform too. I hope next time on AI I will see improvements!"
SIPL2008 wrote a review Dec 2017,50,"Mumbai - Hyderabad
Domestic
Economy","Mumbai - Hyderabad
Domestic
Economy","Mumbai - Hyderabad
Domestic
Economy",Tournment,"Flight is in time , food serve is from Taj, Staff is polte and friendly.Barding gate change other then printed on Boarding pass."
Bhavin-joshi wrote a review Dec 2017,40,"Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy","Inflight service was good, check in was cumbersome","The check in process was slow. In spite of being rush hour, adequate numbers of counters were not manned. The flight pushed back on time and landed on time. The meal service was good."
vanita2015 wrote a review Dec 2017,40,"New Delhi - Paris
International
Economy","New Delhi - Paris
International
Economy","New Delhi - Paris
International
Economy",comfortable,"It was a 9 hours flight. Did not face any problem. Compared to domestic airlines, sitting space was okay."
Ronak wrote a review Dec 2017,10,"Hong Kong - Mumbai
Asia
Economy","Hong Kong - Mumbai
Asia
Economy","Hong Kong - Mumbai
Asia
Economy",Worst cabin crew,"Even after requesting for JAIN meal on the day of booking the ticket (38 days early from the flight date), I was denied for the JAIN MEAL. Instead the cabin crew requested to settle with a fruit platter and the reason given was that there are 5 Jain passengers and 4 Jain meal supplied by the catering team and since the serving started from behind, you are left with no other option. And since it is a mistake by the catering team, we are not responsible for it. They also requested to make an official complaint against the catering team, as this was happening very often.

I requested them to give me an incident report in writing that I was denied the JAIN meal and was offered fruit platter because of catering team issue. The cabin supervisor started talking very rudely and without any apology she moved away telling that you have no other option and we shall not give anything in writing."
anil19542016 wrote a review Dec 2017,30,"New Delhi - Jodhpur
Domestic
Economy","New Delhi - Jodhpur
Domestic
Economy","New Delhi - Jodhpur
Domestic
Economy",Flight rom Delhi to Jodhpur,staff is polite. Special counter for baggage drop. Good space for leg. seats are comfortable. Quality of snacks serve is average
bhav28 wrote a review Dec 2017,30,"Ranchi - Kolkata
Domestic
Economy","Ranchi - Kolkata
Domestic
Economy","Ranchi - Kolkata
Domestic
Economy","Rumors are past, Back to business","Was a bit scared and since its been like forever that Air India has been termed as never on time ... I was shocked and happy to see that my flight took of on time and landed before time...
Happy with its service and with the competitive price i was offered the ticket ... It was very good"
Dirk W wrote a review Dec 2017,30,"Mumbai - Jamnagar
Domestic
Economy","Mumbai - Jamnagar
Domestic
Economy","Mumbai - Jamnagar
Domestic
Economy",Domestic stalwart,"For a short domestic flight in India, the most important issue is reliability ; if the flight departs on time and there are no major problems along the way, the job is done. Air India has not yet disappointed me."
Yeskay wrote a review Dec 2017,40,"Dubai - Kochi (Cochin)
International
Economy","Dubai - Kochi (Cochin)
International
Economy","Dubai - Kochi (Cochin)
International
Economy","We were wary to travel by Air India, until we did. It was a truly good experience.","We had out doubts from a travel many years ago with Air India. We had an opportunity a couple of weeks ago to travel with them again. We were unsure but decided to give it a try. And boy were we pleasantly shocked!
The check-in at the airport was smooth & quick. We have two special needs children and the airline was compassionate to their needs and supported us in whatever way they could.
The in-flight beverages and meals were good.

We felt the seating location provided, due to our need with the children, could have been more roomy but I would not let this eclipse the overall wonderful experience.

Baggage delivery was relatively quick. Air India have really done well for themselves, if I may, on this one travel with them. I hope they keep this up."
Animalis wrote a review Dec 2017,10,"Melbourne - New Delhi
International
Economy","Melbourne - New Delhi
International
Economy","Melbourne - New Delhi
International
Economy",Never Ever Again,Wow cant be leave on a 9 hour flight how filthy the bathrooms became as the flight progressed on complaining to a flight attendant i was advised this could not be helped as it was there custom to stand on the toilet and squat. It is a shame they do not clean them on a regular basis i refuse to fly with them ever again
