rajneesh123 wrote a review May 2018,50,Ahmedabad - Bengaluru,Domestic,"Ahmedabad - Bengaluru
Domestic
Premium Economy",Awesome travel with vistara,"Excellent service and travel with Vistara. We ordered for Jain meal, it was good and nicely served. Well maintained flight. This is my first experience with vistara and i like it. Would recommend to go for it. Price was within the budget. Journey was covered before the time. Happy about it."
webdhawal wrote a review May 2018,40,New Delhi - Pune,Domestic,"New Delhi - Pune
Domestic
Economy",Nice experience and Good Experience,I travelled in this flight from Delhi to Pune and my experience was good.Good service and their supportive staff made my journey pleasant.As the flight was around 3am so they provided supper as well.Overall Jurney was good.
varinder k wrote a review May 2018,10,Mumbai - New Delhi,Domestic,"Mumbai - New Delhi
Domestic
Economy",Non supporting crew,"I was traveling from Mumbai to Delhi on UK902 on 26may18. Passenger sitting on my front seat has declined the seats on my legs. I am 6'2"" so have long legs. I requested crew to request the passenger to upright the seat. But she refused. I was forced to travel in that miserable condition. The crew promises for support trouble. But actually it did not. Bad crew. In all other flights other passenger can use recliner only if person sitting behind is comfortable."
John V wrote a review May 2018,50,Mumbai - New Delhi,Domestic,"Mumbai - New Delhi
Domestic
Economy",Flight to Delhi,Above average Airline and services. Good staff. Exceptionally good food.More legroom compared to a Boeing equipment.
naushad97 wrote a review May 2018,40,New Delhi - Srinagar,Domestic,"New Delhi - Srinagar
Domestic",Very nice and cheap flight,"very nice flight and cheap flight ,Me and my husband satisfied and short flight also we get something to eat that very good"
Muskan wrote a review May 2018,40,New Delhi - Pune,Domestic,"New Delhi - Pune
Domestic
Premium Economy",Good,"Vistara stayed to its word and I had heard a lot about its customer satisfaction and being a relatively new premium airline, apart from Air India and Jet Airways, it was pretty good. Considering its fares and service, its probably gonna go a long way, because it was definitely good."
SUMGupta wrote a review May 2018,50,New Delhi - Ahmedabad,Domestic,"New Delhi - Ahmedabad
Domestic
Premium Economy","Best Airline, seating comfort, food quality, flight hygiene, hospitality",I have travel many times. My family (wife & kids) traveled alone last time and my daughter was demanding Vistara only on the return journey though we had booked another one. All of them liked Vistara very much as compared to other airlines
Aman K wrote a review May 2018,50,New Delhi - Mumbai,Domestic,"New Delhi - Mumbai
Domestic
Economy","Quality Travel , you associate with Tata group","Travel by Vistara was a pleasant experience.
booking and seat selection experience was superb.. Though they could start sending booking details on sms as soon as booked.
Boarding was average experience
Inflight crew was professional and good , though a little better warmth would be appreciated.
Food served was excellent in taste , quality and quantity
Deplaning and baggage experience was sleek and due care was taken in handling baggage specially the fragile ones"
Namanvora wrote a review May 2018,50,Mumbai - Amritsar,Domestic,"Mumbai - Amritsar
Domestic
Economy",exceptional,"it was wonderful to fly with premium airline, ..i booked early and go return flight tickets in 8500 which was great for this sector,..also food quality is good,..only thing lacking is inflight entaertainment system,...( they should start streaming device system like jet gas)"
Deepinder K wrote a review May 2018,50,Ahmedabad - New Delhi,Domestic,"Ahmedabad - New Delhi
Domestic
Economy",Excellent Airline,"I flew Air Vistara recently from Ahmedabad-Delhi and Delhi to Amritsar and followed the same route for the return flight. I had earlier flown with them on Ahmedabad-Del-Chandigarh sector and was so pleased with the experience that I chose the same airlines for the next trip. I am extremely satisfied with the entire process of booking, check-in, seat selection and in-flight experience. For the morning flight we were served a delicious breakfast of cheese omelette, hash browns and baked beans. The Delhi-Amritsar flight was short haul so it was perfectly made veg sandwich. On Del-Amd flight we were served an equally delectable dish of chilli chicken and noodles. The cabin staff as well ground staff were so very polite, courteous and pleasant. Vistara gives you reward points if you book on their website or through their App."
Tiju J wrote a review May 2018,40,Mumbai - Srinagar,Domestic,"Mumbai - Srinagar
Domestic
Economy",Pleasant flight from Mumbai to Delhi and from Delhi to Srinagar,"Flight was on time, food was good and was part of the ticket. Flight was clean and had adequate leg room too."
HithaPrasad wrote a review May 2018,50,Bengaluru - New Delhi,Domestic,"Bengaluru - New Delhi
Domestic
Economy",Definitely the first choice,"It was my first experience and it was wonderful. Very neat and clean aircraft. Attentive, quick, pleasing and extremely hospitable staff. Loved the experience.

Would highly recommend Vistara to my friends and family.

Best wishes to the entire team. Keep up the good work."
Margaret W wrote a review May 2018,50,New Delhi - Kochi,North Asia,"New Delhi - Kochi
North Asia
Economy",Very professional,From check in until disembarking everything was very professional.The plane was spotless and the seats were comfortable. The cabin staff were outstanding.... I was very impressed with the calm and efficient manner they dealt with a medical emergency mid flight.
discerning25 wrote a review May 2018,50,New Delhi - Bengaluru,Domestic,"New Delhi - Bengaluru
Domestic
Business Class",Brilliant,"On our recent trip to India we flew out and back on the UK's national airline and within India flew on 3 different internal airlines. Vistara proved to be the best on all fronts. The check in staff were polite and efficient, the staff at the gate were helpful and showed empathy to all passengers - business class or otherwise. The business class cabin was immaculate and the seats were very comfortable for the length of the flight. The cabin crew were exceptional and outstanding. They spent time talking to customers and to see the senior stewardess help an elderly passenger to the toilet and back was touching. At the moment it is one of the best airlines we have flown in and the others could certainly take some lessons from them. Thank you Vistara, we will certainly fly with you again."
Dr Ujjawal P wrote a review May 2018,40,New Delhi - Pune,Domestic,"New Delhi - Pune
Domestic
Economy",Good flight with all facilities including food,"Management is good
Seat wise entry is helpful
Seats are wide and comfortable
food provided but scope of improvement is there sp. in quantity

I think Vistara need to think for 25 kg baggage as 15 kg is not optional in full time airlines, because I have to pay Rs 1100 for 3 kg extra which is very painful"
Panchtattva wrote a review May 2018,50,New Delhi - Mumbai,Domestic,"New Delhi - Mumbai
Domestic
Premium Economy",One of the best airlines to travel with an infant,"This was the third time we chose Vistara while travelling with 7 month old baby. Every time their care, service and dedication amused me. Aircrew constantly checked if my baby was comfortable, I fasted both mine and my baby's seat belts properly or not. They won't serve you tea/coffee/any hot beverage if you are holding a baby for safety caution, which is absolutely right thing to do. Quality of meal is always satisfactory. This way this airline has become our top favourite. I will recommend everyone to travel with Vistara specially if you are travelling with an infant."
travelnotes2018 wrote a review May 2018,50,Kolkata - New Delhi,Domestic,"Kolkata - New Delhi
Domestic
Economy",Still the best,Vistara came with all round good service and specially good food. They have cut back on the desserts in the recent months but they are still the best in their class.
